Vehicle_Title,Rating,Response,year,model,engine,num_doors,body type
2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan XL 4dr Sedan (3.5L 6cyl 5A),2.125,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.375,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),1.75,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3.5,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.75,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),2.25,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),2.25,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.375,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),3.875,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),3,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.75,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),3.125,Negative,2007,Avalon,3.5L 6cyl 5A,4,Sedan
2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),1,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),2,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3.625,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 6A),3,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),3.75,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
2013 Toyota Avalon Sedan XLE Premium 4dr Sedan (3.5L 6cyl 6A),3.25,Negative,2013,Avalon,3.5L 6cyl 6A,4,Sedan
